after_task,task0,task1,task2,task3,task4,task5,task6,task7,task8,task9
0,100.0,,,,,,,,,
1,95.0,95.0,,,,,,,,
2,100.0,90.0,100.0,,,,,,,
3,100.0,85.0,95.0,85.0,,,,,,
4,95.0,70.0,95.0,90.0,80.0,,,,,
5,90.0,90.0,100.0,95.0,85.0,90.0,,,,
6,85.0,95.0,95.0,100.0,80.0,85.0,95.0,,,
7,85.0,80.0,100.0,95.0,65.0,85.0,80.0,65.0,,
8,100.0,90.0,100.0,85.0,70.0,80.0,90.0,95.0,95.0,
9,80.0,100.0,95.0,85.0,55.0,85.0,100.0,75.0,70.0,75.0
