# task_order: 0,1,2,3
after_stage,stage0(task0),stage1(task1),stage2(task2),stage3(task3)
0,100.0,,,
1,100.0,85.0,,
2,100.0,75.0,85.0,
3,95.0,65.0,80.0,100.0
