after_task,task0,task1,task2,task3,task4,task5,task6,task7,task8,task9
0,100.0,,,,,,,,,
1,100.0,95.0,,,,,,,,
2,100.0,75.0,100.0,,,,,,,
3,95.0,90.0,100.0,100.0,,,,,,
4,95.0,95.0,100.0,100.0,75.0,,,,,
5,100.0,95.0,100.0,95.0,75.0,90.0,,,,
6,100.0,75.0,100.0,90.0,75.0,85.0,90.0,,,
7,95.0,85.0,95.0,90.0,70.0,85.0,95.0,85.0,,
8,100.0,100.0,95.0,85.0,95.0,65.0,100.0,70.0,85.0,
9,100.0,90.0,100.0,85.0,75.0,95.0,95.0,75.0,90.0,90.0
