# task_order: 0,1,2,3
after_stage,stage0(task0),stage1(task1),stage2(task2),stage3(task3)
0,100.0,,,
1,95.0,80.0,,
2,90.0,65.0,90.0,
3,70.0,60.0,100.0,100.0
