after_task,task0,task1,task2,task3,task4,task5,task6,task7,task8,task9
0,100.0,,,,,,,,,
1,100.0,100.0,,,,,,,,
2,75.0,100.0,90.0,,,,,,,
3,65.0,100.0,85.0,85.0,,,,,,
4,85.0,90.0,75.0,70.0,95.0,,,,,
5,45.0,95.0,90.0,75.0,95.0,90.0,,,,
6,30.0,95.0,85.0,85.0,90.0,95.0,80.0,,,
7,35.0,95.0,100.0,55.0,90.0,85.0,75.0,100.0,,
8,15.0,85.0,80.0,50.0,95.0,65.0,45.0,100.0,90.0,
9,5.0,75.0,90.0,50.0,85.0,60.0,80.0,100.0,90.0,70.0
