# task_order: 0,3,2,1   (행/열 = 스테이지 인덱스. 열 i = task 0->0,1->3,2->2,3->1)
after_stage,stage0(task0),stage1(task3),stage2(task2),stage3(task1)
0,100.0,,,
1,80.0,85.0,,
2,95.0,80.0,100.0,
3,95.0,80.0,95.0,95.0
