# task_order: 0,3,2,1   (행 = 스테이지, 열 = 실제 task)
after_stage,task0,task1,task2,task3
0,100.0,,,
1,80.0,,,85.0
2,95.0,,100.0,80.0
3,95.0,95.0,95.0,80.0
