after_task,task0,task1,task2,task3,task4,task5,task6,task7,task8,task9
0,100.0,,,,,,,,,
1,100.0,100.0,,,,,,,,
2,95.0,95.0,95.0,,,,,,,
3,100.0,100.0,95.0,95.0,,,,,,
4,100.0,85.0,100.0,80.0,90.0,,,,,
5,95.0,90.0,95.0,90.0,60.0,85.0,,,,
6,100.0,100.0,100.0,85.0,80.0,95.0,90.0,,,
7,100.0,100.0,95.0,90.0,75.0,80.0,90.0,75.0,,
8,100.0,100.0,95.0,95.0,80.0,95.0,100.0,80.0,85.0,
9,100.0,100.0,95.0,100.0,95.0,95.0,95.0,65.0,90.0,90.0
