after_task,task0,task1,task2,task3,task4,task5,task6,task7,task8,task9
0,100.0,,,,,,,,,
1,100.0,85.0,,,,,,,,
2,100.0,90.0,95.0,,,,,,,
3,100.0,95.0,100.0,95.0,,,,,,
4,85.0,80.0,100.0,85.0,80.0,,,,,
5,95.0,85.0,100.0,90.0,70.0,80.0,,,,
6,100.0,60.0,95.0,85.0,35.0,85.0,85.0,,,
7,90.0,55.0,85.0,80.0,40.0,80.0,100.0,95.0,,
8,100.0,55.0,80.0,75.0,60.0,65.0,90.0,85.0,80.0,
9,90.0,30.0,100.0,75.0,65.0,75.0,70.0,80.0,90.0,95.0
