after_task,task0,task1,task2,task3,task4,task5,task6,task7,task8,task9
0,100.0,,,,,,,,,
1,100.0,90.0,,,,,,,,
2,95.0,80.0,100.0,,,,,,,
3,95.0,80.0,95.0,95.0,,,,,,
4,75.0,60.0,90.0,85.0,90.0,,,,,
5,75.0,75.0,100.0,80.0,60.0,80.0,,,,
6,90.0,50.0,85.0,90.0,85.0,60.0,95.0,,,
7,85.0,30.0,75.0,85.0,60.0,55.0,65.0,75.0,,
8,95.0,75.0,60.0,65.0,55.0,80.0,70.0,80.0,95.0,
9,90.0,55.0,60.0,50.0,65.0,60.0,50.0,55.0,90.0,95.0
