# task_order: 3,2,1,0   (행/열 = 스테이지 인덱스. 열 i = task 0->3,1->2,2->1,3->0)
after_stage,stage0(task3),stage1(task2),stage2(task1),stage3(task0)
0,95.0,,,
1,80.0,100.0,,
2,55.0,75.0,90.0,
3,80.0,95.0,95.0,90.0
