# task_order: 1,0,2,3   (행 = 스테이지, 열 = 실제 task)
after_stage,task0,task1,task2,task3
0,,90.0,,
1,100.0,85.0,,
2,95.0,65.0,95.0,
3,85.0,35.0,95.0,100.0
