# task_order: 1,0,2,3   (행/열 = 스테이지 인덱스. 열 i = task 0->1,1->0,2->2,3->3)
after_stage,stage0(task1),stage1(task0),stage2(task2),stage3(task3)
0,90.0,,,
1,85.0,100.0,,
2,65.0,95.0,95.0,
3,35.0,85.0,95.0,100.0
