method,stage,heldout_loss,sr,switch_count
er,4,0.3396236877393676,0.9,1.0
ewc,3,0.20057183441822418,0.6333333333333333,3.0
ewc,4,0.1997391217504628,0.13333333333333333,41.0
packnet,4,0.5636869661044329,0.03333333333333333,29.0
seq,1,0.22342072496539914,0.9666666666666667,0.0
seq,3,0.5080148957960773,0.0,28.5
seq,4,0.642401658964809,0.0,34.5
