# task_order: 3,2,1,0   (행 = 스테이지, 열 = 실제 task)
after_stage,task0,task1,task2,task3
0,,,,95.0
1,,,95.0,95.0
2,,90.0,75.0,75.0
3,100.0,90.0,100.0,90.0
