# task_order: 3,2,1,0   (행/열 = 스테이지 인덱스. 열 i = task 0->3,1->2,2->1,3->0)
after_stage,stage0(task3),stage1(task2),stage2(task1),stage3(task0)
0,85.0,,,
1,90.0,100.0,,
2,55.0,60.0,80.0,
3,75.0,95.0,65.0,95.0
