method,stage,t,d_median,d_q25,d_q75,tau,n_rollouts
seq,2,245,6.8967,6.0435,8.9019,3.8298,4
seq,2,250,6.8967,6.0435,8.9019,3.8298,4
seq,2,255,6.8967,6.0435,8.9019,3.8298,4
seq,2,260,6.8967,6.0435,8.9019,3.8298,4
seq,2,265,6.8967,6.0435,8.9019,3.8298,4
seq,2,270,6.8967,6.0435,8.9019,3.8298,4
seq,2,275,6.8967,6.0435,8.9019,3.8298,4
seq,2,280,6.8967,6.0435,8.9019,3.8298,4
seq,2,285,6.8967,6.0435,8.9019,3.8298,4
seq,2,290,6.8967,6.0435,8.9019,3.8298,4
seq,2,295,6.8967,6.0435,8.9019,3.8298,4
ewc,1,0,1.1592,1.0307,1.4193,3.8298,29
ewc,1,5,1.1504,1.0324,1.4045,3.8298,29
ewc,1,10,1.1694,1.0387,1.4083,3.8298,29
ewc,1,15,1.2200,1.0735,1.4129,3.8298,29
ewc,1,20,1.1678,1.0885,1.4460,3.8298,29
ewc,1,25,1.1738,1.0551,1.4359,3.8298,29
ewc,1,30,1.1744,1.0455,1.4577,3.8298,29
ewc,1,35,1.1690,1.0461,1.4915,3.8298,29
ewc,1,40,1.1775,1.0883,1.5118,3.8298,29
ewc,1,45,1.3763,1.2100,1.6097,3.8298,29
ewc,1,50,1.5878,1.4112,1.7825,3.8298,29
ewc,1,55,1.7922,1.5657,1.9793,3.8298,29
ewc,1,60,1.8867,1.6561,2.1682,3.8298,29
ewc,1,65,1.9384,1.5792,2.2655,3.8298,29
ewc,1,70,1.8009,1.5045,2.2014,3.8298,29
ewc,1,75,1.9062,1.4747,2.1750,3.8298,29
ewc,1,80,1.8089,1.5664,2.4009,3.8298,29
ewc,1,85,1.8089,1.6234,2.4275,3.8298,29
ewc,1,90,1.8089,1.6234,2.1727,3.8298,29
ewc,1,95,1.7187,1.6185,2.1727,3.8298,29
ewc,1,100,1.7187,1.6185,2.1727,3.8298,29
ewc,1,105,1.7187,1.6185,2.1727,3.8298,29
ewc,1,110,1.7187,1.6185,2.1727,3.8298,29
ewc,1,115,1.7187,1.6185,2.1727,3.8298,29
ewc,1,120,1.7187,1.6185,2.1727,3.8298,29
ewc,1,125,1.7187,1.6185,2.1727,3.8298,29
ewc,1,130,1.7187,1.6185,2.1727,3.8298,29
ewc,1,135,1.7187,1.6185,2.1727,3.8298,29
ewc,1,140,1.7187,1.6185,2.1727,3.8298,29
