method,stage,t,d_median,d_q25,d_q75,da_median,da_q25,da_q75,t_star_median
er,4,232,2.3917,1.9184,3.0505,1.0990,0.5959,2.1359,300.0
er,4,240,2.3917,1.9184,3.0505,1.1978,0.6216,2.1547,300.0
er,4,248,2.3917,1.9184,3.0505,1.0990,0.6216,2.1547,300.0
er,4,256,2.3917,1.9184,3.0505,1.1978,0.6216,2.1547,300.0
er,4,264,2.3917,1.9184,3.0505,1.1978,0.6216,2.1359,300.0
er,4,272,2.3917,1.9184,3.0505,1.0990,0.6216,2.1359,300.0
er,4,280,2.3917,1.9184,3.0505,1.1978,0.6216,2.1359,300.0
er,4,288,2.3917,1.9184,3.0505,1.2794,0.6216,2.1969,300.0
er,4,296,2.3917,1.9184,3.0505,1.2794,0.6216,2.2710,300.0
packnet,4,0,1.1663,1.0231,1.4557,0.6425,0.5119,0.8580,124.0
packnet,4,8,1.1306,1.0334,1.4549,0.4335,0.3417,0.4851,124.0
packnet,4,16,1.2037,1.0939,1.4617,1.4678,1.1933,1.7460,124.0
packnet,4,24,1.3841,1.2438,1.4888,1.7161,1.4447,1.8358,124.0
packnet,4,32,1.6652,1.5611,1.7987,1.1024,0.9909,1.2223,124.0
packnet,4,40,1.9130,1.8258,2.0139,3.0119,2.1079,3.7622,124.0
packnet,4,48,2.1997,2.0819,2.4872,4.8610,3.1409,5.4830,124.0
packnet,4,56,2.3362,2.1948,2.5775,4.4931,2.1123,5.4161,124.0
packnet,4,64,2.3240,2.1292,2.6199,2.1395,1.6405,2.7785,124.0
packnet,4,72,2.1817,1.9826,2.3033,2.7916,2.4353,3.3566,124.0
packnet,4,80,1.9672,1.6939,2.2026,3.0703,2.6198,3.9286,124.0
packnet,4,88,1.8399,1.7301,2.1621,3.9115,3.4505,4.4129,124.0
packnet,4,96,1.8875,1.6524,2.1211,4.3539,2.9922,5.3242,124.0
packnet,4,104,1.9221,1.6336,2.3864,2.9978,1.8433,4.3904,124.0
packnet,4,112,2.2350,1.7794,3.6590,3.1012,1.4887,4.3424,124.0
packnet,4,120,2.8244,1.9284,3.8633,2.5403,1.6102,3.5286,124.0
packnet,4,128,2.4193,1.9302,4.2267,2.5380,1.8704,4.5528,124.0
packnet,4,136,2.9268,2.1003,6.9548,3.1380,2.0753,5.2851,124.0
packnet,4,144,3.1177,2.1675,5.6932,2.5930,1.8257,4.0416,124.0
packnet,4,152,2.9180,2.1758,6.0334,2.9770,2.2244,4.9125,124.0
packnet,4,160,3.1677,2.2354,4.7375,2.7724,2.0058,3.9588,124.0
packnet,4,168,3.2947,2.7278,6.4404,3.2356,2.1736,4.8284,124.0
packnet,4,176,3.4504,2.7067,6.3368,3.8981,2.2311,5.6721,124.0
packnet,4,184,3.6898,3.0100,6.7871,2.9376,1.6379,4.4402,124.0
packnet,4,192,4.3540,3.1611,6.9770,2.5493,1.5664,4.8112,124.0
packnet,4,200,4.7823,3.5368,8.4821,2.1798,1.2557,4.5576,124.0
packnet,4,208,5.3762,3.7520,9.1591,1.6521,1.0662,4.4728,124.0
packnet,4,216,6.0438,3.5950,9.1661,1.7773,1.0101,3.5660,124.0
packnet,4,224,6.2509,3.8144,9.6839,1.5586,1.1560,3.1989,124.0
packnet,4,232,6.5778,4.0427,10.1003,1.4034,1.0322,1.8823,124.0
packnet,4,240,7.0838,4.2876,10.7563,2.0291,1.2690,3.0979,124.0
packnet,4,248,7.1432,4.6842,10.8330,1.9116,1.1412,3.2930,124.0
packnet,4,256,7.9717,5.0244,12.1695,1.8165,1.1522,3.1669,124.0
packnet,4,264,8.6712,5.0707,12.2077,2.0176,1.4083,3.8541,124.0
packnet,4,272,8.6307,5.3382,12.5862,1.9074,0.9592,2.7336,124.0
packnet,4,280,8.4253,5.2281,12.1807,1.9195,1.1014,3.0106,124.0
packnet,4,288,9.1268,5.5529,12.8074,2.3587,1.0117,3.1558,124.0
packnet,4,296,9.4137,6.6881,12.6325,1.9780,1.1957,3.3491,124.0
