after_task,task0,task1,task2,task3,task4,task5,task6,task7,task8,task9
0,100.0,,,,,,,,,
1,100.0,90.0,,,,,,,,
2,90.0,90.0,100.0,,,,,,,
3,100.0,85.0,100.0,85.0,,,,,,
4,85.0,55.0,85.0,90.0,90.0,,,,,
5,90.0,65.0,100.0,70.0,75.0,100.0,,,,
6,90.0,30.0,90.0,75.0,65.0,90.0,90.0,,,
7,95.0,40.0,100.0,70.0,70.0,90.0,95.0,95.0,,
8,90.0,45.0,85.0,75.0,50.0,85.0,80.0,90.0,100.0,
9,85.0,15.0,85.0,50.0,45.0,75.0,75.0,90.0,95.0,65.0
