after_task,task0,task1,task2,task3,task4,task5,task6,task7,task8,task9
0,95.0,,,,,,,,,
1,100.0,80.0,,,,,,,,
2,100.0,90.0,95.0,,,,,,,
3,100.0,80.0,100.0,90.0,,,,,,
4,85.0,60.0,95.0,75.0,70.0,,,,,
5,95.0,60.0,90.0,75.0,65.0,85.0,,,,
6,90.0,15.0,95.0,70.0,55.0,90.0,90.0,,,
7,95.0,10.0,90.0,95.0,75.0,85.0,100.0,85.0,,
8,100.0,5.0,70.0,70.0,45.0,75.0,100.0,90.0,95.0,
9,85.0,5.0,65.0,65.0,45.0,70.0,85.0,80.0,90.0,80.0
