after_task,task0,task1,task2,task3,task4,task5,task6,task7,task8,task9
0,100.0,,,,,,,,,
1,74.0,94.0,,,,,,,,
2,60.0,35.0,98.0,,,,,,,
3,37.0,3.0,98.0,99.0,,,,,,
4,0.0,0.0,30.0,77.0,,,,,,
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
